section,item,status,value,evidence_artifacts,interpretation
climate_outcome_gate,alb2002_access_candidate_outcomes,blocked_alb2002_access_candidate_not_promoted_due_denominator_skip_climate_gates,household_rows=3599; q01_need_rows=3247; person_need_rows=2202; composite_any_rows=1861; composite_any_weighted=0.528953; composite_cost_rows=1661; outcome_promotion_ready=0; climate_ready=0,temp/alb2002_access_candidate_household_outcomes.csv;temp/alb2002_access_candidate_outcome_lineage.csv;result/alb2002_access_candidate_outcome_audit.csv;result/alb2002_access_candidate_outcome_summary.csv;report/alb2002_access_candidate_outcome_audit.md,"ALB_2002 household-level access, need, barrier, and composite candidates are constructed in temp for audit, but no access outcome rows are promoted to data/ because denominator, skip, recipe, financial-alignment, and climate-geography gates remain blocked."
climate_outcome_gate,alb2002_uhc_composite_candidate_outcomes,blocked_alb2002_uhc_composite_candidate_not_promoted_due_outcome_recipe_climate_gates,household_rows=3599; che10_or_access_rows=2004; che10_or_access_weighted=0.570531; che25_or_access_rows=1889; both_che10_access_rows=681; coping_rows=1476; outcome_promotion_ready=0; climate_ready=0,temp/alb2002_uhc_composite_candidate_outcomes.csv;temp/alb2002_uhc_composite_candidate_lineage.csv;result/alb2002_uhc_composite_candidate_audit.csv;result/alb2002_uhc_composite_candidate_summary.csv;report/alb2002_uhc_composite_candidate_audit.md,"ALB_2002 household-level UHC double-failure, financial-only, access-only, both-failure, and coping candidates are constructed in temp for audit, but no composite outcome rows are promoted to data/ because upstream financial, access, recipe, SDG, benchmark, and climate gates remain blocked."
climate_outcome_gate,alb2002_analysis_candidate_dataset,blocked_alb2002_analysis_candidate_not_promoted_due_recipe_outcome_climate_gates,candidate_rows=3599; columns=49; complete_candidate_gates=9; missing_gates=1; blocked_promotion_gates=2; harmonized_ready=0; outcome_ready=0; climate_ready=0; data_write_ready=0,temp/alb2002_analysis_candidate_dataset.csv;temp/alb2002_analysis_candidate_lineage.csv;result/alb2002_analysis_candidate_readiness_audit.csv;result/alb2002_analysis_candidate_readiness_summary.csv;report/alb2002_analysis_candidate_readiness_audit.md,"ALB_2002 household core, timing, admin geography, weights, access signals, and temp CHE candidate outcomes are joined for audit in temp, with harmonized/outcome/climate data promotion still blocked."
climate_outcome_gate,alb2002_climate_centroid_exposure_candidates,blocked_alb2002_climate_centroid_exposures_not_promoted_due_boundary_vintage_source_and_baseline_gates,input_rows=96; exposure_rows=384; districts=36; households=3599; api_rows=36; api_failed=0; precip_nonmissing=384; temp_nonmissing=384; boundary_year=2013; climate_ready=0; data_write_ready=0,temp/alb2002_climate_centroid_exposure_input.csv;temp/alb2002_climate_centroid_exposure_candidates.csv;temp/alb2002_climate_centroid_nasa_power_api_manifest.csv;result/alb2002_climate_centroid_exposure_audit.csv;result/alb2002_climate_centroid_exposure_summary.csv;report/alb2002_climate_centroid_exposure_audit.md,"ALB_2002 district-month climate summaries are computed at candidate ADM2 bounding-box centroids as a temp-only NASA POWER stress test, while primary CHIRPS/ERA5, historical baseline, and climate-linkage promotion gates remain blocked."
climate_outcome_gate,alb2002_climate_shock_candidate_diagnostics,blocked_alb2002_climate_shock_candidate_not_promoted_due_geography_baseline_primary_source_gates,shock_rows=384; source_centroid_rows=384; reference_groups=16; min_group=3; precip_z=384; temp_z=384; low_rain=37; extreme_wet=44; extreme_heat=29; combined=73; climate_ready=0; data_write_ready=0,temp/alb2002_climate_shock_candidate_exposures.csv;temp/alb2002_climate_shock_candidate_lineage.csv;result/alb2002_climate_shock_candidate_audit.csv;result/alb2002_climate_shock_candidate_summary.csv;report/alb2002_climate_shock_candidate_audit.md,"ALB_2002 within-candidate rainfall and temperature z-scores are documented as diagnostic flags only; they are not historical anomalies or accepted treatment variables because primary climate sources, baselines, and verified geography remain blocked."
climate_outcome_gate,alb2002_climate_outcome_linked_candidate,blocked_alb2002_climate_outcome_linked_candidate_not_promoted_due_recipe_outcome_geography_source_baseline_gates,linked_rows=14396; households=3599; windows=4; district_months=96; unmatched=0; precip_z=14396; temp_z=14396; combined=3092; climate_ready=0; outcome_ready=0; data_write_ready=0,temp/alb2002_climate_outcome_linked_candidate.csv;temp/alb2002_climate_outcome_linked_candidate_lineage.csv;result/alb2002_climate_outcome_linked_candidate_audit.csv;result/alb2002_climate_outcome_linked_candidate_summary.csv;report/alb2002_climate_outcome_linked_candidate_audit.md,"ALB_2002 household rows are mechanically expanded to diagnostic climate-window rows and linked to temp UHC candidates. The output remains temp-only because recipe, outcome-promotion, geography, primary climate-source, and historical-baseline gates are blocked."
climate_outcome_gate,alb2002_linked_candidate_descriptive_screen,blocked_alb2002_linked_candidate_descriptive_screen_not_promoted_due_unpromoted_inputs,input_rows=14396; households=3599; windows=4; audit_rows=7; cell_rows=108; household_cells=4; subgroup_cells=24; climate_flag_cells=16; outcome_by_climate_cells=64; climate_ready=0; outcome_ready=0; data_write_ready=0,result/alb2002_linked_candidate_descriptive_audit.csv;result/alb2002_linked_candidate_descriptive_cells.csv;result/alb2002_linked_candidate_descriptive_summary.csv;report/alb2002_linked_candidate_descriptive_diagnostics.md,"ALB_2002 candidate rates are summarized for audit readability only. This screen does not satisfy promoted descriptive diagnostics, because the underlying outcome, climate, recipe, survey-design, and data-write gates remain blocked."
climate_outcome_gate,alb2002_provisional_outcome_feasibility,not_final_outcomes_outcome_semantics_climate_crosswalk_blocked,audit_rows=30; financial_tests=8; access_proxies=15; low_event_rate=9; ready=0,temp/alb2002_provisional_outcome_feasibility_audit.csv;result/alb2002_provisional_outcome_feasibility_summary.csv;report/alb2002_provisional_outcome_feasibility.md,"ALB_2002 raw OOP/access fields have provisional event-rate diagnostics, but no SDG 3.8.2, final CHE, climate-linked, descriptive, causal, ML, or policy outcome is constructed."
climate_outcome_gate,alb2002_outcome_semantics_raw_value_audit,blocked_outcome_semantics_units_recall_skip_patterns_unreviewed,audit_rows=42; source_files=2; oop_candidates=25; access_candidates=8; value_label_rows=12; conditional_reason_rows=3; outcome_ready=0; sdg382_ready=0,temp/alb2002_outcome_semantics_raw_value_audit.csv;result/alb2002_outcome_semantics_raw_value_summary.csv;report/alb2002_outcome_semantics_raw_value_audit.md,"ALB_2002 raw health module labels and values are now audited for OOP/access semantics. The audit strengthens the evidence trail but keeps CHE, SDG 3.8.2, and forgone-care outcome promotion blocked pending unit, recall, missing-code, and skip-pattern review."
climate_outcome_gate,alb2002_health_questionnaire_semantics_audit,blocked_alb2002_questionnaire_semantics_seen_but_outcome_not_ready,rows=65; oop_items=25; gift_items=6; new_lek_rows=31; four_week_oop=17; twelve_month_oop=8; payment_positive_skip_leaks=0; payment_nonmissing_skip_review=11; outcome_ready=0; climate_ready=0,temp/alb2002_health_questionnaire_semantics_audit.csv;result/alb2002_health_questionnaire_semantics_summary.csv;report/alb2002_health_questionnaire_semantics_audit.md,"ALB_2002 questionnaire evidence now confirms NEW LEKS payment units, mixed four-week and twelve-month OOP recall, gift/payment-scope rows, access-barrier codes, and raw skip-path diagnostics. It still promotes zero outcome, SDG, or climate-linkage rows."
climate_outcome_gate,alb2002_oop_aggregation_policy_audit,blocked_alb2002_oop_aggregation_policy_stress_test_not_outcome_ready,policy_rows=11; household_rows=3599; core_4w_match=3599; core_12m_match=3599; max_che10=0.707697; max_che25=0.56738; outcome_ready=0; sdg382_ready=0; climate_ready=0,temp/alb2002_oop_aggregation_policy_audit.csv;result/alb2002_oop_aggregation_policy_summary.csv;report/alb2002_oop_aggregation_policy_audit.md,"ALB_2002 OOP aggregation policy audit compares four-week, 12-month, gift, transport, and annualized stress-test variants against total consumption. It confirms the existing core OOP sums match the recomputed no-gifts-with-transport policy but keeps all outcome, SDG, and climate promotion rows at zero."
climate_outcome_gate,alb2002_skip_missing_semantics_audit,blocked_alb2002_skip_missing_semantics_seen_but_recipe_not_ready,rows=12; payment_blocks=7; condition_blocks=5; positive_skipped_rows=0; zero_skipped_cells=11; positive_skipped_cells=0; outcome_ready=0; sdg382_ready=0; climate_ready=0,temp/alb2002_skip_missing_semantics_audit.csv;result/alb2002_skip_missing_semantics_summary.csv;report/alb2002_skip_missing_semantics_audit.md,"ALB_2002 skip/missing semantics audit shows skipped downstream payment values are zero-only with no positive skipped-payment leaks. The downstream skip-value decision is documented separately; outcome, SDG, recipe, and climate promotion remain closed pending OOP scope, denominator, access, and geography gates."
climate_outcome_gate,alb2002_oop_skip_value_decision_audit,documented_alb2002_oop_skipped_values_zero_only_but_oop_policy_not_ready,rows=5; payment_blocks=7; condition_blocks=5; nonmissing_skipped_cells=11; zero_skipped_cells=11; positive_skipped_rows=0; positive_skipped_cells=0; zero_skip_ready=4; recall_ready=0; inclusion_ready=0; outcome_ready=0; sdg382_ready=0; climate_ready=0,temp/alb2002_oop_skip_value_decision_audit.csv;result/alb2002_oop_skip_value_decision_summary.csv;report/alb2002_oop_skip_value_decision_audit.md,"ALB_2002 OOP skip-value decision audit narrows skipped downstream payment handling to a no-positive-leakage decision while leaving recall scope, inclusion scope, outcome, SDG, and climate promotion closed."
climate_outcome_gate,alb2002_access_need_denominator_policy_audit,blocked_alb2002_access_need_denominator_policy_not_outcome_ready,rows=24; households=3599; person_need=2202; q01_need=3247; delayed=144; referral_not_gone=161; refused=68; any_access_barrier=1861; low_event=3; outcome_ready=0; climate_ready=0,temp/alb2002_access_need_denominator_policy_audit.csv;result/alb2002_access_need_denominator_policy_summary.csv;report/alb2002_access_need_denominator_policy_audit.md,"ALB_2002 access/need denominator policy audit separates broad need, person-level illness need, delayed care, referral nonuse, refusal, medicine access, and composite barrier candidates. It keeps promotion rows at zero pending explicit denominator policy and remaining OOP/geography gates."
climate_outcome_gate,alb2002_consumption_sdg_denominator_policy_audit,blocked_alb2002_consumption_sdg_denominator_policy_not_sdg_ready,rows=14; households=3599; positive_total_consumption=3599; positive_weight=3599; positive_household_size=3599; spl_ready=0; ppp_cpi_ready=0; discretionary_ready=0; che_ready=0; outcome_ready=0; sdg382_ready=0; climate_ready=0,temp/alb2002_consumption_sdg_denominator_policy_audit.csv;result/alb2002_consumption_sdg_denominator_policy_summary.csv;report/alb2002_consumption_sdg_denominator_policy_audit.md,"ALB_2002 consumption/SDG denominator policy audit verifies that total consumption, weights, and household size are visible for all candidate rows, but keeps CHE, SDG 3.8.2, outcome, recipe, and climate promotion blocked until unit/period, SPL, PPP/CPI, discretionary-budget, OOP, and geography gates pass."
climate_outcome_gate,alb2002_consumption_construction_source_audit,documented_alb2002_consumption_aggregate_but_not_outcome_sdg_climate_ready,rows=9; public_pdf=1; program_zip=1; do_files=19; totcons_do=1; poverty_do=1; metadata_json=1; documentation_ready=9; released_mapping_ready=3; denominator_variant_ready=8; outcome_ready=0; sdg382_ready=0; climate_ready=0,temp/alb2002_consumption_construction_source_audit.csv;result/alb2002_consumption_construction_source_summary.csv;report/alb2002_consumption_construction_source_audit.md,"ALB_2002 public IHSN source evidence documents the total-budget denominator variant and maps local `totcons` to public metadata `totcons3`; it still promotes zero outcome, SDG 3.8.2, or climate-linkage rows."
climate_outcome_gate,alb2002_consumption_aggregate_metadata_crosswalk,documented_alb2002_consumption_aggregate_but_not_outcome_sdg_climate_ready,rows=11; local_poverty_rows=3599; metadata_catalog_rows=0; raw_totcons_positive=3599; candidate_totcons_match=3599; questionnaire_formula_hits=0; construction_source_rows=9; construction_do_files=19; documentation_ready=9; released_mapping_ready=3; denominator_variant_ready=8; outcome_ready=0; sdg382_ready=0; climate_ready=0,temp/alb2002_consumption_aggregate_metadata_crosswalk_audit.csv;result/alb2002_consumption_aggregate_metadata_crosswalk_summary.csv;report/alb2002_consumption_aggregate_metadata_crosswalk_audit.md,"ALB_2002 aggregate crosswalk now verifies that candidate total_consumption exactly copies raw `totcons` and that public IHSN sources map it to the released `totcons3` total-budget variant. OOP numerator, SDG, and climate gates remain closed."
climate_outcome_gate,alb2002_period_aligned_che_policy_audit,blocked_alb2002_period_aligned_che_policy_not_outcome_ready,policy_rows=3; household_rows=3599; denominator_rows=3599; period_alignment_ready=3; combined_che10=0.228952; combined_che10_weighted=0.23666; combined_che25=0.0805779; combined_che25_weighted=0.0859036; outcome_ready=0; climate_ready=0,temp/alb2002_period_aligned_che_policy_audit.csv;result/alb2002_period_aligned_che_policy_summary.csv;report/alb2002_period_aligned_che_policy_audit.md,"ALB_2002 monthly-equivalent CHE stress tests align four-week and twelve-month OOP with the documented monthly total-budget denominator, but they remain non-promoted diagnostics."
raw_verification_gate,alb2002_minimum_recipe_promotion_packet,blocked_alb2002_minimum_recipe_not_ready_for_promotion,action_rows=6; gate_rows=10; blocked_gates=7; candidate_gates=3; harmonized_ready=0; outcome_ready=0; sdg382_ready=0; climate_ready=0,temp/alb2002_minimum_recipe_promotion_action_queue.csv;temp/alb2002_minimum_recipe_promotion_gate_checklist.csv;result/alb2002_minimum_recipe_promotion_summary.csv;report/alb2002_minimum_recipe_promotion_packet.md,"ALB_2002 minimum-promotion packet consolidates the current top-ranked candidate into explicit household, outcome, SDG, and climate gates. It keeps harmonized, outcome, SDG 3.8.2, and climate-linkage promotion at zero."
climate_outcome_gate,alb2002_limited_harmonized_household_core,limited_harmonized_household_core_promoted_outcome_climate_still_blocked,rows=3599; columns=68; identity_rows=3599; timing_rows=3599; weight_rows=3599; admin2_rows=3599; coordinate_rows=0; limited_data_write_ready=3599; final_outcome_ready=0; climate_ready=0; analysis_ready=0,data/harmonized_household.csv;temp/harmonization_audit.csv;temp/harmonized_lineage.csv;temp/alb2002_harmonized_household_core_promotion_audit.csv;result/alb2002_harmonized_household_core_promotion_summary.csv;report/alb2002_harmonized_household_core_promotion.md,"ALB_2002 limited harmonized household core is written for inspection only and carries guardrail markers blocking final outcome, climate-linkage, and empirical-analysis use."
climate_outcome_gate,alb2002_limited_financial_outcome_promotion,limited_che10_che25_financial_outcomes_promoted_sdg_access_climate_still_blocked,rows=3599; che10_rows=824; che10_weighted=0.23666; che25_rows=290; che25_weighted=0.0859036; limited_data_write_ready=3599; sdg382_ready=0; access_ready=0; composite_ready=0; climate_ready=0; analysis_ready=0,data/household_outcomes.csv;result/outcome_audit.csv;temp/outcome_construction_audit.csv;temp/alb2002_limited_financial_outcome_promotion_audit.csv;result/alb2002_limited_financial_outcome_promotion_summary.csv;report/alb2002_limited_financial_outcome_promotion.md,"ALB_2002 limited CHE10/CHE25 outcomes are written for financial-protection inspection only. SDG 3.8.2, access, composite UHC, climate-linkage, and empirical-analysis gates remain closed."
climate_outcome_gate,alb2002_limited_climate_exposure_promotion,limited_nasa_admin2_centroid_climate_exposures_promoted_linkage_still_blocked,rows=384; districts=36; windows=4; precip_nonmissing=384; temp_nonmissing=384; precip_z=384; temp_z=384; limited_data_write_ready=384; chirps_ready=0; era5_ready=0; baseline_ready=0; linkage_ready=0; analysis_ready=0,data/climate_exposures_nasa_power.csv;temp/climate_extraction_audit.csv;temp/alb2002_limited_climate_exposure_promotion_audit.csv;result/alb2002_limited_climate_exposure_promotion_summary.csv;report/alb2002_limited_climate_exposure_promotion.md,"ALB_2002 limited NASA POWER admin2-centroid exposure rows are promoted for fallback exposure inspection only. Final CHIRPS/ERA5, historical-baseline, climate-linkage, and causal-analysis gates remain closed."
climate_outcome_gate,alb2002_limited_climate_linked_promotion,limited_che_outcome_nasa_admin2_climate_linked_promoted_models_still_blocked,rows=14396; households=3599; windows=4; expected=14396; climate_value_rows=14396; unmatched=0; che10_long_rows=3296; che25_long_rows=1160; combined_stress=3092; limited_data_write_ready=14396; sdg382_ready=0; access_ready=0; climate_linkage_ready=0; descriptive_ready=0; predictive_ready=0; reduced_ready=0; robustness_ready=0; analysis_ready=0,data/climate_linked_household.csv;temp/climate_merge_audit.csv;temp/alb2002_limited_climate_linked_promotion_audit.csv;result/alb2002_limited_climate_linked_promotion_summary.csv;report/alb2002_limited_climate_linked_promotion.md,"ALB_2002 limited household-window file links CHE10/CHE25 outcomes to NASA POWER admin2-centroid windows for audit only. Descriptive, predictive, reduced-form, robustness, causal ML, policy, and final-analysis gates remain closed."
raw_verification_gate,analysis_dataset_promotion_barrier_audit,limited_core_financial_outcomes_climate_exposures_and_linked_diagnostics_promoted_models_still_blocked,rows=6; blocked=2; promoted=4; data_files=4; verified_recipe_candidates=0; ready_country_waves=0; alb2002_temp_core_rows=3599; limited_core_rows=3599; limited_core_data_write_ready=3599; limited_core_final_outcome_ready=0; limited_financial_rows=3599; limited_financial_che10=824; limited_financial_che25=290; limited_financial_sdg_access_composite_ready=0/0/0; limited_financial_climate_ready=0; limited_climate_rows=384; limited_climate_data_write_ready=384; limited_climate_linkage_ready=0; limited_linked_rows=14396; limited_linked_data_write_ready=14396; limited_linked_descriptive_predictive_reduced_robust_analysis_ready=0/0/0/0/0; alb2002_harmonized_ready=0; alb2002_outcome_ready=0; alb2002_climate_ready=0,temp/analysis_dataset_promotion_barrier_audit.csv;result/analysis_dataset_promotion_barrier_summary.csv;report/analysis_dataset_promotion_barriers.md,"Promotion audit allows the limited ALB_2002 harmonized household core, CHE-only financial outcomes, fallback climate exposure file, and linked diagnostic file, while keeping all descriptive/model-ready data blocked."
design_gate,current_design_scorecard,fail_closed_design_scorecard_currently_no_go_for_estimation_or_policy_learning,scorecard_rows=38; current_rows=3; audit_rows=4; no_go_thresholds=8; failed_or_not_estimable=8; data_write_ready=0,result/design_scorecard.csv;result/design_scorecard_current_audit.csv;result/design_no_go_threshold_audit.csv;result/design_scorecard_current_summary.csv;report/design_scorecard_audit.md,"Current scorecard preserves broad metadata rows, appends current fail-closed design rows, and records that estimation, transportable targeting, causal ML, policy learning, and descriptive-paper claims remain no-go."
design_gate,alb2002_promotion_gate_delta,partial_gate_delta_documented_keep_data_empty_until_outcome_sdg_geography_gates_pass,gate_rows=10; review_ready=2; documented_candidate=6; hard_blocked=4; promotion_ready=0; data_write_ready=0,temp/alb2002_promotion_gate_delta_audit.csv;result/alb2002_promotion_gate_delta_summary.csv;report/alb2002_promotion_gate_delta_audit.md,ALB_2002 promotion delta separates evidence-rich review candidates from hard blockers while keeping all data writes and promoted analytical claims closed.
design_gate,alb2002_boundary_blocker_resolution,blocked_no_alb2002_boundary_source_ready_for_climate_linkage,matrix_rows=11; official_leads=4; candidate_name_coverage=3; incompatible_or_negative=4; historical_ready=0; climate_ready=0; data_write_ready=0,temp/alb2002_boundary_blocker_resolution_matrix.csv;result/alb2002_boundary_blocker_resolution_summary.csv;report/alb2002_boundary_blocker_resolution_matrix.md,"ALB_2002 boundary matrix consolidates official, public, current-boundary, and negative evidence while keeping climate linkage and data writes closed."
design_gate,alb2002_outcome_blocker_resolution,blocked_no_alb2002_outcome_ready_for_promotion,matrix_rows=12; financial=4; access=5; composite=3; candidate_not_promoted=11; hard_blocked=1; outcome_ready=0; data_write_ready=0,temp/alb2002_outcome_blocker_resolution_matrix.csv;result/alb2002_outcome_blocker_resolution_summary.csv;report/alb2002_outcome_blocker_resolution_matrix.md,"ALB_2002 outcome matrix consolidates CHE, access, composite, and SDG blocker evidence while keeping final outcome promotion and data writes closed."
climate_outcome_gate,alb2002_district_climate_crosswalk,blocked_boundary_crosswalk_not_verified_no_gps,district_groups=36; household_rows=3599; survey_month_rows=3599; interview_date_rows=3599; source_rows=1; source_reachable=1; climate_ready=0,temp/alb2002_district_climate_crosswalk_template.csv;temp/alb2002_district_boundary_source_probe.csv;result/alb2002_district_climate_crosswalk_summary.csv;report/alb2002_district_climate_crosswalk_audit.md,"ALB_2002 district names/codes are converted into a review template and public ADM2 boundary metadata is probed, but no polygons, centroids, GPS, verified historical crosswalk, climate linkage input, or exposure values are created."
climate_outcome_gate,alb2002_boundary_name_match_audit,blocked_current_boundary_name_match_incomplete_historical_crosswalk_no_gps,survey_districts=36; boundary_features=37; exact_matches=34; repaired_matches=1; unmatched_survey=1; duplicate_boundary_keys=2; historical_ready=0; climate_ready=0,temp/alb2002_boundary_name_match_audit.csv;temp/alb2002_boundary_geojson_inventory.csv;temp/source_snapshots/alb2002_geoboundaries_alb_adm2_current.geojson;result/alb2002_boundary_name_match_summary.csv;report/alb2002_boundary_name_match_audit.md,"ALB_2002 current public ADM2 boundary names were compared against survey district labels. Name evidence remains incomplete because KORCE is unmatched, duplicate current-boundary name keys exist, 2021 boundaries are not verified as 2002 districts, and no GPS support exists."
climate_outcome_gate,alb2002_boundary_source_alternatives_audit,blocked_no_public_2002_district_boundary_source_verified,source_rows=6; reachable=4; current_or_post2015=2; lsms_maps_documented=1; gps_documented=1; historical_ready=0; climate_ready=0,temp/alb2002_boundary_source_alternative_audit.csv;result/alb2002_boundary_source_alternative_summary.csv;report/alb2002_boundary_source_alternative_audit.md,ALB_2002 public/current/historical boundary-source alternatives were audited without GIS downloads. Source leads remain useful but not promotion-ready because no public 2001/2002 district/GPS boundary source is verified and joined to the 36 observed survey district groups.
climate_outcome_gate,alb2002_boundary_source_resource_search_audit,blocked_alb2002_boundary_resource_search_no_historical_climate_ready_source,candidate_resources=3; parseable=3; complete_name_coverage=1; exact_unit_count=1; best_candidate=geoboundaries_2_0_1_adm2; best_exact=33; best_repaired=2; best_alias=1; historical_ready=0; climate_ready=0,temp/alb2002_boundary_source_resource_search_audit.csv;result/alb2002_boundary_source_resource_search_summary.csv;report/alb2002_boundary_source_resource_search_audit.md;temp/source_snapshots/alb2002_geoboundaries_2_0_1_alb_adm2.geojson;temp/source_snapshots/hdx_cod_ab_alb_package_show.json;temp/source_snapshots/hdx_alb_adm_gazetteer_2019.xlsx,"ALB_2002 public boundary resources were parsed directly. geoBoundaries 2.0.1 is the strongest name-coverage lead, but it remains blocked until boundary vintage, provenance, geometry validity, and raw district-code crosswalks are verified."
climate_outcome_gate,alb2002_boundary_geometry_provenance_audit,blocked_geoboundaries_2_0_1_boundary_year_2013_not_verified_2002,features=36; coordinate_structure_ok=36; survey_key_matched=36; boundary_year=2013; boundary_update=2020-01-16; source=OpenStreetMap; Wambacher; year_matches_2002=0; topology_validated=0; historical_ready=0; climate_ready=0,temp/alb2002_boundary_geometry_provenance_audit.csv;temp/alb2002_boundary_metadata_provenance_probe.csv;result/alb2002_boundary_geometry_provenance_summary.csv;report/alb2002_boundary_geometry_provenance_audit.md;temp/source_snapshots/alb2002_geoboundaries_2_0_1_alb_adm2_metadata.json,"The best ALB_2002 boundary lead has parseable geometry and complete survey-key name coverage, but companion metadata reports boundaryYear 2013 and OpenStreetMap/Wambacher provenance, so it remains blocked for 2002 climate linkage."
climate_outcome_gate,alb2002_boundary_manual_verification_packet,blocked_manual_boundary_verification_required_before_alb2002_climate_linkage,actions=7; gates=9; candidate_gates=3; blocked_gates=6; high_priority_actions=3; pre2011_digital_map_absence=1; climate_ready=0,temp/alb2002_boundary_manual_verification_action_queue.csv;temp/alb2002_boundary_promotion_gate_checklist.csv;result/alb2002_boundary_manual_verification_packet_summary.csv;report/alb2002_boundary_manual_verification_packet.md,"The ALB_2002 geography blocker is now converted into source-specific manual actions and explicit promotion gates. The packet is actionable, but climate linkage remains blocked until those gates pass."
climate_outcome_gate,alb2002_boundary_manual_source_followup,blocked_followup_confirms_no_public_2002_district_boundary_source,followup_rows=7; conclusive_blockers=7; district_ready=0; climate_ready=0; ipums_status=blocked_prefecture_g1_not_36_lsms_districts; unece_pre2011_map_status=blocked_pre2011_digital_boundary_source_absence_documented,temp/alb2002_boundary_manual_source_followup_audit.csv;result/alb2002_boundary_manual_source_followup_summary.csv;report/alb2002_boundary_manual_source_followup.md,"Manual-source follow-up records source-specific blockers. IHGIS is downgraded to prefecture-level only, UNECE/INSTAT evidence documents pre-2011 national digital-map absence, and no public source is promoted for ALB_2002 climate linkage."
climate_outcome_gate,alb2002_gadm_boundary_lead_audit,blocked_gadm_boundary_lead_no_verified_2002_historical_provenance,candidates=2; gadm36_rows=37; gadm36_keys=36; gadm36_district_rows=37; gadm36_complete_name_coverage=1; gadm36_duplicate_keys=1; historical_ready=0; climate_ready=0,temp/alb2002_gadm_boundary_lead_audit.csv;temp/alb2002_gadm_boundary_name_match_audit.csv;result/alb2002_gadm_boundary_lead_summary.csv;report/alb2002_gadm_boundary_lead_audit.md;temp/source_snapshots/gadm36_ALB_shp.zip;temp/source_snapshots/gadm41_ALB_shp.zip,"GADM 3.6 is a useful public district/Rreth lead, but duplicate SHKODER and missing official 2001/2002 provenance keep ALB_2002 climate linkage blocked."
climate_outcome_gate,alb2002_local_geography_artifact_audit,blocked_questionnaire_gps_fields_not_present_as_raw_coordinate_artifacts,files_scanned=44; raw_coordinate_variables=0; questionnaire_coordinate_fields=2; admin_variables=55; local_coordinate_ready=0; local_boundary_ready=0; climate_ready=0,temp/alb2002_local_geography_artifact_audit.csv;result/alb2002_local_geography_artifact_summary.csv;report/alb2002_local_geography_artifact_audit.md,"ALB_2002 local package and questionnaire evidence show longitude/latitude fields and admin/sampling geography, but no raw coordinate variables, verified boundary artifact, or climate-linkage-ready row exists."
raw_verification_gate,alb2012_raw_core_feasibility,temp_candidate_no_interview_timing_coarse_geography_outcome_semantics_pending,candidate_rows=6671; consumption_rows=6671; weight_rows=6671; oop4w_positive=2794; access_affordability=2750; timing_rows=0; climate_ready=0,temp/alb2012_household_core_candidate.csv;temp/alb2012_raw_core_feasibility_audit.csv;temp/alb2012_raw_core_lineage.csv;result/alb2012_raw_core_feasibility_summary.csv;report/alb2012_raw_core_feasibility.md,"ALB_2012 has a temp raw-core review candidate with consumption, weights, OOP/access proxies, and shocks, but no harmonization or climate linkage is promoted because interview timing is missing, geography is coarse prefecture/region only, GPS is absent, and value semantics are unreviewed."
climate_outcome_gate,alb2012_provisional_outcome_feasibility,not_final_outcomes_timing_geography_recall_semantics_blocked,audit_rows=33; financial_tests=8; access_proxies=15; need_proxies=4; low_event_rate=9; ready=0; climate_ready=0,temp/alb2012_provisional_outcome_feasibility_audit.csv;result/alb2012_provisional_outcome_feasibility_summary.csv;report/alb2012_provisional_outcome_feasibility.md,"ALB_2012 raw OOP/access/need fields have provisional event-rate diagnostics, but no SDG 3.8.2, final CHE, climate-linked, descriptive, causal, ML, or policy outcome is constructed."
